"","time","receptors","R_Smad_cyt","R_Smad_P_cyt","Smad4_cyt","R_Smad_P_Smad4_cyt","R_Smad_P_Smad4_nuc","R_Smad_nuc","R_Smad_P_nuc","Smad4_nuc","Pi"
"1",0,10007.4939295047,161972.087824058,-2.86512971735518,120000.886245157,0.678353254266545,73.4994884426834,17975.3630486591,0.675138490650843,29984.5989701349,480.577845947139
"2",0.25,9995.82731327288,160201.061846491,1358.94364288708,123652.164582767,570.133074189015,1419.91424618049,16584.5553913254,0.52334449900369,24805.821819363,-722.685446345388
"3",0.5,9958.85929121068,157856.571401142,1515.00490386847,124763.400010293,726.519409100214,4025.13734959227,16039.5181220236,19.9553165025561,20544.7971313736,-207.220245445326
"4",1,9889.59876534976,152241.392644355,1487.84713108721,125220.742883624,728.749158129172,10074.7223509398,15459.1971213191,84.5950902319196,14281.9066211326,334.129568249511
"5",1.5,9845.54143902123,147067.045707225,1457.5109326956,123611.701144218,706.644973605712,15542.1045311378,14930.3030605164,172.664567983942,10070.6578630963,1103.98647123784
"6",3,9664.24740323009,132571.467735005,1443.17326919725,113587.356024339,644.728607612789,31001.4801337912,13588.4491316173,523.14863015168,4424.21675833879,1789.99693059489
"7",4.5,9508.08535328737,120198.106616857,1478.21266750691,101777.61158281,590.985058107018,44461.1313986774,12437.1422882566,887.828503246169,3165.27572187195,2936.74849295257
"8",6,9344.87857797882,109773.675587056,1529.52836200413,90864.1158734538,544.308517833371,55381.8448526586,11422.7295949586,1185.33468930087,3190.90683116993,5620.95835693553
"9",7.5,9201.95442558753,101022.58547847,1585.02038825576,81246.0967500138,502.863441457392,64925.5572363104,10587.3130077483,1424.8911767633,3452.87466572445,9841.5670127612
"10",9,9059.23837651014,93148.9361219534,1640.22078580225,72939.4511274865,466.446913097108,73223.2798107922,9895.39175621727,1612.96058409747,3707.85785315272,12640.6922314886
"11",10.5,8887.79854207574,86836.1176721441,1684.91863556604,65652.8450273325,433.793141582004,80017.1281691642,9241.58491982177,1776.44439782891,3928.19273385667,17321.796561418
"12",12,8748.04784937092,81260.1942321697,1736.35363038679,59222.9139244783,404.803949056474,85946.3229806223,8707.95499470758,1909.92098301732,4141.97798859362,21501.3876061052
"13",18,8193.85207212132,66174.6362438085,1911.80547590508,43084.8965636557,322.944331734384,102150.42831661,7288.52125714256,2266.69355133365,4664.08829050892,40692.246318066
"14",24,7654.30739507002,59038.2226952543,1999.48577929182,34949.6343678351,272.223185639301,109895.814543148,6558.71089930086,2439.91270930738,4895.84190966144,61716.8844922315
"15",36,6707.0982101904,54906.670272087,1905.93520780521,30840.9491665303,228.126028514536,114233.211438348,6163.87017621061,2540.4897306599,5036.14690924023,106153.699597717
"16",48,5878.33333029926,57229.380729019,1613.9912117163,32716.6381228005,207.083985407576,112161.408427261,6377.01472923033,2496.06530555085,4941.92460051598,153270.496730716
"17",100,3290.18453343502,80994.848028294,676.287056967643,58025.0027800051,152.850881615378,87756.7284290094,8613.41125806239,1977.68876900553,4365.14233225535,331061.519622645
"18",250,612.054317325134,141892.954464312,85.7814208908627,125201.036010703,42.5574797206505,22776.1444905558,14370.3485487631,540.387465733954,2080.01698517719,624511.743722223
"19",500,43.4785101138166,162212.760501863,5.36531877927198,147684.253756624,3.18354438606349,1300.78028852606,16245.8082396042,32.0515041070602,1013.09389011777,709487.980686876
