"","time","receptors","R_Smad_cyt","R_Smad_P_cyt","Smad4_cyt","R_Smad_P_Smad4_cyt","R_Smad_P_Smad4_nuc","R_Smad_nuc","R_Smad_P_nuc","Smad4_nuc","Pi"
"1",0,-2922.99041645128,-102408.944989467,57011.4380610514,54818.5141285794,23823.2079139139,86887.1309098989,-61555.7082495325,1310.47220522455,-155512.843171735,46252.1893430251
"26",0.25,2542.94560868766,-12107.2388618195,9.27835563811641,263498.177316374,3638.16680730667,18234.6395320874,-8220.65969391042,-2936.998045816,-287409.072694441,-121351.797045576
"51",0.5,-656.132218764469,-122542.933353543,85.2526729981946,-11534.0293540212,616.872946597368,133030.791708612,-13807.0309804498,2110.27992638812,-122915.005594099,-25362.6506529274
"101",1,-1460.7345146469,-125957.027273544,228.561385651801,-75983.4901590948,-156.023940887735,135505.710835392,-12707.9618276948,2869.23739514474,-59698.5298012296,10361.9983893313
"151",1.5,-1077.78208246782,-108280.780422327,101.411984192055,-87113.5154524673,-441.722849016969,115998.258441825,-10269.1913428735,2795.55957461426,-28586.3060268966,-47.3221188835851
"301",3,-1179.08934078696,-80134.390492487,233.815417463575,-74482.9237531812,-385.330853098026,85695.5382415617,-7529.27343459851,2119.95852881239,-10831.7229624545,18148.9276377915
"451",4.5,-1068.81807086211,-72394.2192823888,496.70836486257,-74978.3934062143,-331.564744201955,77249.8218590044,-6864.85668773639,1903.16159919314,-1833.56901781372,15860.6439854249
"601",6,-1158.32273892011,-53913.4510118165,380.147032886953,-56622.6437982259,-259.600101138403,57576.7766065983,-5126.82307388604,1405.75477032098,-590.392235891613,29257.2407206703
"751",7.5,-1130.16201062601,-43934.2444818176,315.196357870946,-46956.9001635682,-218.604690624886,46931.5616007079,-4184.49354094446,1140.09641054599,333.67360876764,32992.5513533663
"901",9,-1055.75356207373,-39699.0445623087,351.515621159251,-43151.1484342773,-195.747401990047,42351.1129190447,-3791.64802653031,1006.99098162067,1069.1889234572,28958.548004668
"1051",10.5,-1036.21760547321,-32866.2914882443,276.317871651372,-35977.4862204504,-168.494104982074,35087.4339448492,-3142.95153649255,830.26530045322,1116.21707927088,32395.3805249403
"1201",12,-977.278376431059,-22251.9973875606,167.741826130396,-24552.4582941071,-123.276677877982,23782.3909875151,-2135.81985812561,549.263884171523,905.502393023653,35246.5367717123
"1801",18,-946.278458654888,-10800.7281935716,-24.4341353404707,-12063.6847407804,-74.2788156999836,11681.6727960977,-1041.95028046706,264.275499700943,448.042626991992,40425.2328055154
"2401",24,-785.404502694291,-3934.42119302927,-79.833737995159,-4552.23003491119,-47.5652099460717,4354.63511278795,-385.885888629673,96.3620387788069,235.885554779998,39603.4708349471
"3601",36,-629.959638143191,2189.01268425543,-126.573919392058,2280.40152919857,-28.6787440734031,-2185.98828098038,201.012555495254,-45.3082293797706,-64.0342077895184,40986.1518711405
"4801",48,-395.826319182561,3672.32003524259,-96.9649006012787,3962.39250997314,-14.5585164856357,-3822.22075387836,344.214388062937,-83.8726540368953,-124.858959625271,29813.2302798331
"10001",100,-162.335642774906,2943.25406165444,-46.6321858125411,3217.76507923641,-5.06511975513035,-3103.63752236299,277.010464813429,-69.070390445404,-109.721564020219,15302.1590878488
"25001",250,-74.2491999674257,1977.21868072404,-25.045203016532,2169.15172153676,-1.67958615281805,-2093.23440738808,186.421211783454,-46.8406850978909,-74.8217188984199,8245.21837220527
