"","time","receptors","R_Smad_cyt","R_Smad_P_cyt","Smad4_cyt","R_Smad_P_Smad4_cyt","R_Smad_P_Smad4_nuc","R_Smad_nuc","R_Smad_P_nuc","Smad4_nuc","Pi"
"1",0,10047.6597336065,161903.949614793,-4.92468662865953,120407.797533861,0.92267753916953,140.317973326709,18039.295750725,-4.40699792214791,29953.081916338,-1417.93354399293
"2",0.25,10019.6380485812,160459.023540543,1356.42241027469,123693.319762783,574.914464312941,957.999658025231,16558.2693428973,13.3434530142928,24707.5860199345,7003.58922381883
"3",0.5,9953.37445264591,157640.835482765,1505.33333671336,124476.280910597,723.286605833919,4051.58877952737,15981.1767450919,22.7108552342163,20517.4999998251,4436.85759257879
"4",1,9836.51575582662,152029.704618854,1493.59630228216,124579.968469213,728.504445247236,9483.17152210096,15393.1090726607,81.1025350130232,14082.8751548655,-1629.90492285006
"5",1.5,9841.83262357928,146641.211963223,1461.51339747426,123726.145868989,704.221305068248,15407.284375131,14972.3092040809,171.540372243284,9905.55915365896,1859.41273037861
"6",3,9695.91744250266,132491.153704536,1448.71194290409,113356.007263947,645.895715746252,31515.4308733956,13632.834425873,532.545628736072,4339.04516904471,2268.78528135759
"7",4.5,9510.06167115501,120291.729320744,1485.128282095,101726.111612023,594.348778630092,44365.5151529387,12429.8187772487,881.55077905364,3357.27167955952,2758.78220321497
"8",6,9354.86591502127,109505.96047144,1541.07834753965,90842.3391314243,540.761958281261,55886.670332445,11410.6013919286,1198.83149764817,3229.40292440053,1417.27809859894
"9",7.5,9227.21573563327,100580.981984765,1584.50157005966,80902.1075521127,503.066959087496,64821.9760015016,10562.3749468461,1432.71953830239,3471.03527794094,11315.2590278086
"10",9,9080.0878305179,93088.6466207602,1647.7705928653,72702.5576857338,467.071015323724,72014.4187658664,9828.87382896001,1610.36659905802,3732.93215225178,15102.6727390868
"11",10.5,8868.21542785474,86761.8355250658,1683.14894884964,65142.5391638168,434.899507576214,80053.2960712862,9243.61123770569,1771.83759736792,3979.31181668621,13889.695412845
"12",12,8783.67420495967,81124.4661189062,1731.1782064655,59054.5627659975,404.45610003863,85640.7596779899,8753.55822364939,1906.75829982954,4164.88474634974,20988.6427878395
"13",18,8183.15492760894,65865.4014284435,1923.81982520369,42815.0966079485,323.902642174204,101926.882367245,7293.8472112412,2262.53130099105,4567.19896380959,40863.1137273582
"14",24,7673.60568720917,58984.2671995632,1999.59233096317,34557.0267740043,272.05843986308,110273.349667897,6541.99566904264,2450.7665910916,4872.81402648915,63787.8045633449
"15",36,6722.86958464856,55180.1688898289,1905.18208464308,30465.1185829242,229.553612123497,113762.847078757,6145.94099012703,2526.10100949371,5052.1768960408,108619.422588803
"16",48,5879.29725890354,57636.0355080522,1618.29486518978,32651.9907923615,206.250533559032,112036.9048802,6370.88035601318,2505.16375431046,5045.01795497698,151752.042319313
"17",100,3297.13889148415,81039.7888736753,684.600984701201,57443.6290441108,152.683420649539,87308.9745074863,8616.98421405754,1978.45324327765,4347.30875681207,329669.377585412
"18",250,639.261889199207,141942.67862446,87.7398291486313,125724.702104264,44.2358307681579,22972.2714432657,14362.0226789112,547.247623639127,1995.494554193,626134.664299265
"19",500,20.1352565364315,161921.686148332,-3.70389026903157,146771.736236736,-0.550762303177732,1595.54943716231,16249.3155143445,37.817081820172,816.980961156808,712485.05711433
