"","time","receptors","R_Smad_cyt","R_Smad_P_cyt","Smad4_cyt","R_Smad_P_Smad4_cyt","R_Smad_P_Smad4_nuc","R_Smad_nuc","R_Smad_P_nuc","Smad4_nuc","Pi"
"1",0,16128.5351569579,201430.769600693,-147.457690401787,116415.456393965,47.7731997815048,-21290.2163062258,14111.5258876594,-55.5112171226555,40300.2081609017,14281.6024345203
"2",0.25,12818.1334330569,184085.317083203,531.084949401795,129088.125671567,515.780447688087,-27000.5617929079,15010.1938034185,879.861079500833,28070.9237999618,79851.9266947544
"3",0.5,8082.60615331846,132636.438837772,1620.43171787512,68104.5869664349,808.56884611431,-19484.5340585064,16733.5232011818,-1257.17620926169,21634.2954770016,245777.983623504
"4",1,10571.3667272398,117125.716366405,821.869815440328,83001.3947369849,555.038732710034,22160.6042565045,18499.4075083656,225.606978192169,21323.8638967175,131092.442202077
"5",1.5,6626.06107014024,173356.964453107,1439.34307274148,184066.772079989,519.024625199371,71412.9536203952,10505.0366433602,373.519049136924,18503.3215979591,86908.7342109287
"6",3,10710.1038074888,138681.598719736,718.006736471277,101263.691628613,444.622235101562,14928.815316292,11521.5662526371,1546.82035880996,-6793.14842981259,-196730.992482777
"7",4.5,16502.9956069103,173467.394069589,2271.09915198723,90353.5381659654,556.982596552194,59134.6653252936,14002.598416384,463.774006826055,8031.43126804065,-4270.30209795083
"8",6,5734.06996012963,161366.204947982,1746.01106727009,92396.4170333497,175.433911665256,95540.4438059168,11347.875222144,1458.63707508304,-2682.78927238884,-33075.3541934179
"9",7.5,14389.6623577202,83269.6894537463,1225.27180134481,149073.976844247,600.542950412713,58841.2188859609,10753.6675843096,856.116954625873,-2326.44810006862,-195577.638886444
"10",9,7018.96077357165,96052.6347569825,1937.05179000808,46200.5567730576,505.122689428983,133617.139168898,8301.15591657557,1858.90210221456,6161.88854144246,-54747.0702230383
"11",10.5,7695.51414002689,70583.1999916686,1566.83633206555,54229.7953124581,750.743990460344,90524.8432302552,12138.2626356564,1606.99254055411,6132.960980761,343038.960353451
"12",12,7701.11854676495,59631.332863658,1871.12141100039,87885.0416594738,214.211324039532,74974.8065960031,7855.51755058942,2172.53277290002,7472.65828009301,-144005.771439237
"13",18,7523.29642898486,115787.47708674,1097.27173751372,4495.15775827153,385.830212038646,86769.6984912922,10415.9220439457,1856.85368797614,2517.17637285275,-114812.501127783
"14",24,6452.75811036094,43451.6708788476,2170.8208306736,35597.4733976442,239.235623741533,75674.2917512279,10870.3747603352,3268.24714515474,-2291.16103639551,-133593.044104042
"15",36,7327.92479519832,82013.0615600554,1477.81155213941,117278.525823952,219.793469437193,116811.244058284,8347.83898672387,2410.16732990699,6409.68262209629,-182641.098968138
"16",48,4065.35667999163,84154.1062932604,1295.41915753016,-10327.3740787585,147.365410937463,48147.7382084403,5064.60895079697,3743.78533929037,8330.41860743566,-9579.46395040303
"17",100,3367.75644730439,103559.578962287,446.57681890737,150907.316298096,201.893128427114,77820.2288256817,9137.08393595491,1530.05978834281,10386.3263197354,228383.555557013
"18",250,320.853457749127,154997.781217443,-248.51523235991,115355.555813225,-370.219735399279,-43984.14987822,12249.0931415334,1563.649685781,13117.6050136043,538690.680478947
"19",500,3236.79740234372,200463.15389708,-288.090930817768,123785.538652319,-444.843856184012,3318.30736082945,17558.4096994719,-258.970777005256,7544.82046039838,828734.702212777
