"","time","MKKK","MKKK_P","MKK","MKK_P","MKK_PP","MAPK","MAPK_P","MAPK_PP"
"1",0,90.4126125084668,10.0803589188735,280.095199106593,10.229240861806,9.91055193428008,280.033296619483,10.0749137721505,9.92942723095503
"2",0.25,89.8956058793348,10.4130232358695,279.946530248346,10.0758277725234,10.0316695603198,279.978023376424,10.054599208277,9.96928092925053
"3",0.5,89.4080079939763,10.6794076754446,280.309988773364,9.80006435059534,9.84440882977166,280.130298575282,9.97915771213782,10.0439418923944
"4",1,89.0912973965489,10.7731801694994,280.4999288428,10.1697262497361,9.92996589021338,280.005584671749,10.2092148741567,9.9131165594352
"5",1.5,88.5892232052677,11.3519327738704,280.098643912651,10.2921595235547,9.84793954997679,279.853414955412,10.1516640521804,9.90041061802351
"6",3,86.9794186308931,12.5737916879825,279.697104090417,10.5054594593426,9.25255161359512,279.988928016209,10.3809085012477,9.71271690853934
"7",4.5,85.9298078568442,13.9009893820155,280.333368724654,10.6777599346163,9.40269569756253,279.828872726608,10.5322979364704,9.6183564253301
"8",6,84.5236852491389,15.6098388815511,279.937642366734,11.0182327936639,9.11241415606044,279.940547966569,10.7617417218762,9.43244296098629
"9",7.5,83.4640683439793,16.9434607755276,279.693210311712,11.1993641170993,8.89147415479995,279.919809446626,10.8267589944353,9.15315555700643
"10",9,81.5075154180319,18.1976143479193,279.784096096177,11.4702196943418,8.95657282515905,279.798897645132,11.0851857068076,9.09771174129289
"11",10.5,80.1334971998755,19.9009678889455,279.384941718762,11.8276025617021,8.81949198303767,279.920891705547,11.2103402212358,8.97994829499969
"12",12,79.1043376334358,21.0872458691867,279.294829565286,11.9306764865316,8.69799305289179,279.967865598383,11.2251400635506,8.86276324058713
"13",18,73.1571732933694,27.0221716973622,277.89545815696,13.4321754579074,8.90420176367766,279.961946380655,11.7066377089636,8.30607513446527
"14",24,67.7282362836706,33.0018686106409,275.730668170361,14.830620934701,9.26831174626874,280.035164085481,12.0735193892985,7.90371633917669
"15",36,55.8009731326933,43.9445173545809,269.766625840725,18.8401726722447,11.5652866891993,280.071440545411,12.86571322189,7.26986979498446
"16",48,44.4021855261683,55.4544197830953,260.949081875245,23.10996827073,15.9849078982086,278.763259387396,13.9807771225483,7.22413853832341
"17",100,14.0146684460835,85.8707166312353,197.502941392861,45.6590699153738,56.6305547598152,251.774171057866,26.9633295724236,21.3189940818618
