"","time","receptors","R_Smad_cyt","R_Smad_P_cyt","Smad4_cyt","R_Smad_P_Smad4_cyt","R_Smad_P_Smad4_nuc","R_Smad_nuc","R_Smad_P_nuc","Smad4_nuc","Pi"
"1",0,-64263.7459106973,148322.861128108,59548.215376422,249717.945877404,26136.0746562716,382335.844534259,-101613.147380114,21466.1923287459,-14110.9076223329,-2047547.3782276
"26",0.25,29109.3108741097,-321798.435219185,-6452.46141439998,92399.4686312071,3669.62389827313,-251041.356134616,22066.254470732,-3101.47415976378,-341469.423667771,735875.707801763
"51",0.5,9970.50443639819,-206789.98758868,-1810.74508267011,-63170.5506858707,735.696579737805,35125.226097327,-4187.29439697017,1554.95529674149,-142756.184460672,247448.290969773
"101",1,2915.34316698016,-142673.452164949,-298.196280266893,-92703.9275616262,-67.484333522998,92724.2513429828,-10153.5234376224,2523.34362022016,-68447.7009196398,94817.5730629855
"151",1.5,915.486632107786,-92606.3705231645,278.436330547038,-90435.7835039991,-330.012766551931,105653.000731891,-12581.9627537821,2394.50130339077,-33000.22055107,5358.71739748791
"301",3,-1239.00563805182,-63238.7961544155,483.870482222756,-70168.3092559542,-333.106165649156,85649.4273272365,-9943.85791664718,1957.12670106241,-12158.9969729403,194.666623930516
"451",4.5,-2574.31889020336,-51852.6260387443,694.962039861593,-66195.5053017009,-340.652422548033,76359.5974788768,-9668.67157066736,2104.57028937867,-1397.26993088061,-52081.1252465087
"601",6,-2514.00254670625,-40586.8644232687,494.139761590759,-50455.7960289385,-269.270930458106,57709.074171893,-6439.05319261648,1563.65085248353,-842.657063881688,-6527.4836621029
"751",7.5,-2377.99899735364,-33613.2553053612,410.47603250604,-42147.3140998423,-233.286726177994,46657.5100354967,-5007.7390105871,1286.10562418748,242.260900481142,9915.09076470447
"901",9,-2149.95719042599,-34841.2494137738,505.218468802013,-39453.635619182,-219.26151265825,41690.6137131882,-3803.05640498773,1139.21348209783,1361.6402157877,28596.6152375822
"1051",10.5,-1984.86929133287,-29566.025197797,407.63389321296,-32916.3076035256,-191.985559070815,34265.3012162336,-2943.65315143477,938.075598988689,1480.91459898023,36983.5035305465
"1201",12,-1667.63110869033,-22556.0402897536,276.206311914621,-22645.8217864347,-146.18880810616,22767.9026138503,-1444.45355020616,582.707081438912,1880.42121150647,56744.1853963564
"1801",18,-1337.69684068557,-11940.2423144784,-9.1180719211934,-9934.98077800905,-94.456148091524,10499.8733115644,-228.76526004984,268.984573066973,998.443849164687,52055.1341319006
"2401",24,-1015.46261056683,-4969.082870688,-84.8043584819607,-3216.01323520008,-60.9133804227326,3526.55545140442,244.083046652122,87.7452885870298,619.532285496462,47395.3473469883
"3601",36,-729.436788736166,2590.36502714298,-144.484942431973,2267.7287005572,-30.5611381369602,-2493.22138461866,373.693785046271,-61.3445080739439,-57.2538836659078,43540.623367182
"4801",48,-413.840736417114,3874.58551062446,-111.724317272547,3801.78644610714,-14.8786656358197,-3944.03812581731,397.405389325286,-96.4094281362122,-114.400511528402,29759.9546441343
"10001",100,-134.483171270404,2890.97702599247,-54.1219024585189,3192.3253140194,-5.97003617420455,-3185.11739010864,257.770761025313,-71.6789556831827,-80.311723972045,13023.9205675316
"25001",250,-47.1286733356919,1906.01444887579,-29.3575325617894,2157.82502033107,-2.23965645599833,-2130.98644975253,162.131498571398,-47.5622471919905,-55.0724423314932,6403.78431114368
