"","time","receptors","R_Smad_cyt","R_Smad_P_cyt","Smad4_cyt","R_Smad_P_Smad4_cyt","R_Smad_P_Smad4_nuc","R_Smad_nuc","R_Smad_P_nuc","Smad4_nuc","Pi"
"1",0,11037.122744094,157021.610731098,17.8383380448138,115252.055756829,-38.7133825799797,5154.01021402631,18243.0335551653,-415.719150311628,28752.9917574186,17851.6759066638
"2",0.25,9922.58799206195,161746.195426068,1443.45179447027,122311.585177012,586.274995982785,9701.55143457713,16772.673357493,89.685307304841,27498.5815338286,-40051.5080641633
"3",0.5,9611.88814572204,146763.78480367,1534.04003500134,125636.405994077,757.120577010411,20589.5315159941,14617.9890204799,5.22879623820234,21373.4964024566,3150.9672174126
"4",1,9443.49290617764,154905.804791238,967.337572254703,114070.811925248,759.909574622355,5328.44913692337,14787.217316599,292.900841792956,13901.1848569983,-18819.376570095
"5",1.5,11546.4533473571,130099.01321207,1474.2278708381,112773.973401202,708.095639235786,11470.0377295334,16534.2371773726,386.785413320942,7225.88615163214,1756.60246319647
"6",3,11489.9056569438,110061.014751365,1329.13007065894,109213.964251191,665.551992865095,21896.4344360643,15106.4448798875,371.347350693178,7962.38829127048,50991.8037304688
"7",4.5,9782.54408346402,117221.288920482,1352.19413545939,96652.1993105608,671.107770785455,49939.9822239201,13476.3582274978,747.296658416117,2429.70295613604,-66998.2688140029
"8",6,10972.8515379468,109877.11282403,1377.44597849723,91357.6832623165,541.588705729945,62004.9491267482,11465.6581483789,1226.47382022229,1078.82904446869,33883.104680714
"9",7.5,10374.1987360221,95456.2229886901,1407.77707723304,68070.5150015121,636.937580758275,55356.9316848789,8762.12041040181,1434.73974053487,442.416907776303,17093.0706549699
"10",9,9119.3558356144,93760.0198316517,1459.29663611894,69817.2776822752,521.324479163768,57159.9668318331,8619.19602173297,1507.2033204238,757.97361218358,27880.5957121004
"11",10.5,9262.71492188177,96705.2256909552,1569.85293991301,54261.4236778371,482.208098566475,79431.3471971696,8214.7482170605,1982.94450193007,-125.615377332961,3452.99702328526
"12",12,8896.83401241182,78792.4034197312,1878.71622185297,52104.2004167932,433.459873133922,86533.8874665202,6100.58501584566,2017.67097576525,5291.86897820202,-29176.8559503715
"13",18,8956.75952623432,72185.9991325224,2225.36574063154,45969.6598412561,310.059277495481,104023.42711155,7998.72804587111,2327.05860886119,8097.08679226132,-2652.73867459293
"14",24,6274.41306602018,48712.8674326212,1766.8205954266,50026.4220482883,285.926339801374,97392.0502247143,8057.33405094608,2603.9092515724,4878.06122004725,56977.6225039005
"15",36,6228.65622031843,54430.5617454003,2087.49045800251,19337.1850569211,256.880489933517,119930.562783435,7147.07217532044,2593.41697525673,2619.09036209863,136465.660361025
"16",48,4940.67432520649,55928.5689539452,1644.98682797908,31693.6375986914,201.075313647344,100104.211495796,7499.33706247935,2402.87499314215,7294.42832011584,251118.83958481
"17",100,2732.14830934861,84543.5670087874,375.763491871598,60471.227424742,133.418969301736,77251.3374315654,9770.49342212056,2109.93797595796,1231.28907037048,291611.591932277
"18",250,-157.228767105446,148622.231771956,-7.46524037891838,117075.860632565,98.0167761611852,20276.2336644397,14901.2811286287,265.879574719897,3983.65640655445,644606.457954977
"19",500,408.491513953003,156223.356686827,-285.211584585831,150582.937805995,-64.1186441734197,-9344.7716533086,17024.3113257587,77.8699097300897,1954.12571787155,632381.023945909
