"","time","receptors","R_Smad_cyt","R_Smad_P_cyt","Smad4_cyt","R_Smad_P_Smad4_cyt","R_Smad_P_Smad4_nuc","R_Smad_nuc","R_Smad_P_nuc","Smad4_nuc","Pi"
"1",0,951202.094865558,19122679.1087975,78351.6529121978,243550762.480675,1779.21980255214,30456151.5768653,970377.007049998,45480.1275285495,6978670.65455138,8640010729.73689
"2",0.25,3197989.19262792,183726852.960219,26764.6127775924,12599031.2969733,25147.1842884791,723506458.799466,3667568.70565625,337493.478896803,1991497.77490099,13280679734.8216
"3",0.5,1108744.39115478,288788068.739471,28573.8321745327,683201184.176676,16191.18826402,82757985.8483263,606157.545384258,278768.208929816,55165200.2824136,2648931192.42965
"4",1,2315452.07880851,5752741.4448094,285162.349547922,195369155.628223,7018.39534636201,179690080.988783,562916.172520633,608267.963673897,13267432.623929,11530655949.9898
"5",1.5,2063394.01533937,129586844.464234,389911.973243361,683308332.498812,50102.2976196017,9266208.02632872,4233420.09964462,142137.917905935,12085900.4910028,5563919849.85949
"6",3,3450157.71950099,147260928.520606,16693.4621801174,11922443.2274078,7826.02334438158,431237019.285602,4713052.86980453,154559.306797037,3997704.94110521,5807375886.9667
"7",4.5,1208822.55432781,36365011.707682,12873.7284969322,380567880.720236,206.527539945334,23321759.8881742,2181255.03980836,12670.195780842,16221361.0538931,1516499682.25679
"8",6,1818847.35593189,224699002.979785,29278.6084427125,338877844.856421,16480.0817202245,230905533.34221,23495780.3680245,86676.2305347776,28884264.7401074,2062473642.1507
"9",7.5,828690.711637309,623099599.86553,42410.9696275403,380481482.348005,44583.6597483286,172226802.655815,718634.855421811,56619.963137796,53417988.1758864,16988360106.3056
"10",9,3156831.64438683,386557682.490473,50950.3048007183,189201589.812192,10183.4877387683,142103542.108807,8693790.31935914,87689.8787047812,34896666.4810345,7072124570.59286
"11",10.5,3375660.60401903,98482877.542414,20849.1897078093,33325847.8223533,5470.95063164093,31766559.39111,217082.343578894,201017.456268972,17625789.2983504,20561988462.0123
"12",12,124703.825230039,481644372.898106,1402.36536420622,32648702.6357509,31218.1805000922,295004199.809802,8796976.13884066,577230.492615482,13233205.5925782,3776442707.46191
"13",18,703967.956757301,152177440.206161,4211.64014337395,335452749.158337,35522.1711406941,1666412947.23319,4395137.62508411,152773.478613601,12794764.6879464,9513836243.17143
"14",24,4771905.84013332,371027562.803554,45793.1395764255,121946518.784189,39452.8002370207,162961450.639268,2951755.23571047,32650.1505787238,8679073.22156288,1913935450.62079
"15",36,999506.438591951,461895105.871698,185229.312312266,30155760.0630867,3363.37034377397,276236671.846703,200146.057728517,99905.4762952388,9805129.84705983,6917982130.37657
"16",48,938229.272829151,262739439.586403,151489.470033294,563780940.340396,26484.2552019805,70270705.9151592,8305648.74925635,160427.986148591,3223362.95395632,5009386749.52702
"17",100,4579625.1974735,200235555.639647,21957.8320315086,127983691.189297,3206.87600679454,29332572.7179957,1345001.28962979,628583.009608085,44993586.4886597,11755618728.884
"18",250,5341743.48274506,598320849.389772,133378.301167562,47330792.0019045,10747.0476168772,323900014.752507,1915604.95198278,154361.623083059,23373572.7745666,12237462645.9141
"19",500,2129239.68814272,25208096.4609008,107523.354528884,31555231.3377149,46415.0721770976,30934288.4161986,1109454.11511945,127212.014337559,42610984.2414382,7846287066.3491
