"","time","MKKK","MKKK_P","MKK","MKK_P","MKK_PP","MAPK","MAPK_P","MAPK_PP"
"1",0,210.28674834874,0.431450183464259,265.305358618601,26.7322893190118,71.0566993133713,2.66229511743729,4.12566773014612,0.519596615424463
"2",0.25,96.5569122255914,2.05663362639923,144.923219429322,16.1546404610611,3.49565116509236,7.1602698181404,0.741256722881135,23.7216956495587
"3",0.5,0.105189709146274,175.197577138551,259.942094951369,20.0429347718582,21.6914669024526,39.4023332104175,9.66097550072805,14.3813477202
"4",1,62.0144656338743,12.8648824135475,633.614953964937,78.2079307680299,76.2228594952471,34.0784643002221,4.6460419301512,3.04443045479035
"5",1.5,80.3492178210632,85.9022427606365,73.539977669751,11.9248773767103,130.020326375885,11.8302645205637,13.0961013180471,5.84057686995726
"6",3,118.125055747043,279.609778203552,488.689146909842,8.53985933834288,68.4183957561329,30.8644789114656,20.5671312011234,3.36091629699369
"7",4.5,216.944093522841,163.045263681411,159.382511601603,58.014435078769,142.757102942632,13.4102244013578,0.306581522887994,9.63331555098272
"8",6,65.4730634612763,23.8476281089459,142.51777995871,6.37007974549462,96.9534206248502,5.57125630251752,3.40308217777625,6.68473937592363
"9",7.5,111.165401923149,32.9983315259073,118.754606806162,3.43058984971418,57.3441263504867,9.57886545980286,0.834186551161523,4.3408757261905
"10",9,16.5500075287213,11.1981657042761,171.493205454928,32.6086702821204,15.4575917470054,4.54637630412391,4.2942042253227,1.34258534734643
"11",10.5,97.04346769126,73.7457271883913,20.7358384706752,80.6520407892484,29.8370318655929,11.6891120203408,0.614668349442544,9.60308713036853
"12",12,8.05384678523451,57.43290914177,63.983351219007,28.7244219144721,23.4014970480911,5.06270294760529,1.39650058347089,1.57302042497178
"13",18,20.2672928010413,222.326253580421,447.563058560827,11.1669928805837,41.2921956021833,6.56712627112594,4.55684688173247,6.18493760459503
"14",24,60.2750873792558,177.090008731446,367.055362652801,27.8435272238897,34.0692207995315,13.8550059801866,14.1460498301934,4.92583201705913
"15",36,68.994308769899,31.1199851180986,226.616459757813,28.0447211322543,29.5950984548356,28.2537695778336,13.5516829371448,5.81935204936856
"16",48,359.751668270774,531.737657017084,512.143661501087,91.6686799975526,7.04872576573916,77.2219520831589,2.04832406866082,0.904661048451535
"17",100,114.451171749536,56.5858417171418,74.7917579554875,33.2053803776778,45.8730990878362,19.7303697294882,6.64228367293857,7.78249866196887
